"filename", "language", "Markdown", "HTML", "JavaScript", "Vue", "Less", "CSS", "XML", "JSON", "SQL", "comment", "blank", "total"
"d:\留言网站\MessageWall\API\app.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 9, 5, 43
"d:\留言网站\MessageWall\API\config\default.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 0, 11
"d:\留言网站\MessageWall\API\config\wall.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 36, 24, 6, 66
"d:\留言网站\MessageWall\API\controller\dbServe.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 16, 2, 103
"d:\留言网站\MessageWall\API\lib\db.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 21, 7, 158
"d:\留言网站\MessageWall\API\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 2124, 0, 0, 1, 2125
"d:\留言网站\MessageWall\API\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\留言网站\MessageWall\API\routes\files.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 1, 26
"d:\留言网站\MessageWall\API\routes\index.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 9, 1, 48
"d:\留言网站\MessageWall\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"d:\留言网站\MessageWall\Web\index.html", "HTML", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"d:\留言网站\MessageWall\Web\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3124, 0, 0, 1, 3125
"d:\留言网站\MessageWall\Web\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"d:\留言网站\MessageWall\Web\src\App.vue", "Vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 2, 30
"d:\留言网站\MessageWall\Web\src\assets\api\index.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 0, 29
"d:\留言网站\MessageWall\Web\src\assets\fonts\icon\demo.css", "CSS", 0, 0, 0, 0, 0, 435, 0, 0, 0, 19, 86, 540
"d:\留言网站\MessageWall\Web\src\assets\fonts\icon\demo_index.html", "HTML", 0, 431, 0, 0, 0, 0, 0, 0, 0, 2, 55, 488
"d:\留言网站\MessageWall\Web\src\assets\fonts\icon\iconfont.css", "CSS", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 16, 68
"d:\留言网站\MessageWall\Web\src\assets\fonts\icon\iconfont.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\留言网站\MessageWall\Web\src\assets\fonts\icon\iconfont.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 101
"d:\留言网站\MessageWall\Web\src\assets\images\card.svg", "XML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"d:\留言网站\MessageWall\Web\src\assets\images\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\留言网站\MessageWall\Web\src\assets\images\loading.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\留言网站\MessageWall\Web\src\assets\images\photo.svg", "XML", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 56
"d:\留言网站\MessageWall\Web\src\assets\router\index.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"d:\留言网站\MessageWall\Web\src\assets\store\index.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\留言网站\MessageWall\Web\src\assets\styles\common.css", "CSS", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"d:\留言网站\MessageWall\Web\src\assets\styles\common.less", "Less", 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 9, 67
"d:\留言网站\MessageWall\Web\src\assets\utils\axios.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 2, 32
"d:\留言网站\MessageWall\Web\src\assets\utils\data.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 15, 4, 71
"d:\留言网站\MessageWall\Web\src\assets\utils\env.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\留言网站\MessageWall\Web\src\assets\utils\methods.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 1, 28
"d:\留言网站\MessageWall\Web\src\assets\views\WallMessage.vue", "Vue", 0, 0, 0, 402, 0, 0, 0, 0, 0, 34, 4, 440
"d:\留言网站\MessageWall\Web\src\assets\views\index.vue", "Vue", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"d:\留言网站\MessageWall\Web\src\components\KMR\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\留言网站\MessageWall\Web\src\components\KMR\message\IMessage.vue", "Vue", 0, 0, 0, 104, 0, 0, 0, 0, 0, 1, 6, 111
"d:\留言网站\MessageWall\Web\src\components\KMR\message\message.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\留言网站\MessageWall\Web\src\components\mobile\CardDetail.vue", "Vue", 0, 0, 0, 219, 0, 0, 0, 0, 0, 7, 21, 247
"d:\留言网站\MessageWall\Web\src\components\mobile\IModal.vue", "Vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 3, 105
"d:\留言网站\MessageWall\Web\src\components\mobile\Ibutton.vue", "Vue", 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 1, 72
"d:\留言网站\MessageWall\Web\src\components\mobile\NewCard.vue", "Vue", 0, 0, 0, 302, 0, 0, 0, 0, 0, 14, 31, 347
"d:\留言网站\MessageWall\Web\src\components\mobile\NodeCard.vue", "Vue", 0, 0, 0, 124, 0, 0, 0, 0, 0, 2, 9, 135
"d:\留言网站\MessageWall\Web\src\components\mobile\PhotoCard.vue", "Vue", 0, 0, 0, 97, 0, 0, 0, 0, 0, 2, 19, 118
"d:\留言网站\MessageWall\Web\src\components\mobile\TopBar.vue", "Vue", 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 10, 84
"d:\留言网站\MessageWall\Web\src\components\mobile\WallMessage.vue", "Vue", 0, 0, 0, 341, 0, 0, 0, 0, 0, 25, 21, 387
"d:\留言网站\MessageWall\Web\src\components\mobile\index.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 36
"d:\留言网站\MessageWall\Web\src\components\pc\CardDetail.vue", "Vue", 0, 0, 0, 203, 0, 0, 0, 0, 0, 8, 14, 225
"d:\留言网站\MessageWall\Web\src\components\pc\FootBar.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\留言网站\MessageWall\Web\src\components\pc\IModal.vue", "Vue", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 3, 106
"d:\留言网站\MessageWall\Web\src\components\pc\Ibutton.vue", "Vue", 0, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 73
"d:\留言网站\MessageWall\Web\src\components\pc\NewCard.vue", "Vue", 0, 0, 0, 306, 0, 0, 0, 0, 0, 14, 30, 350
"d:\留言网站\MessageWall\Web\src\components\pc\NodeCard.vue", "Vue", 0, 0, 0, 129, 0, 0, 0, 0, 0, 2, 8, 139
"d:\留言网站\MessageWall\Web\src\components\pc\PhotoCard.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 2, 19, 120
"d:\留言网站\MessageWall\Web\src\components\pc\TopBar.vue", "Vue", 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 5, 88
"d:\留言网站\MessageWall\Web\src\components\pc\Viewer.vue", "Vue", 0, 0, 0, 133, 0, 0, 0, 0, 0, 2, 18, 153
"d:\留言网站\MessageWall\Web\src\main.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"d:\留言网站\MessageWall\Web\vite.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 3, 26
"Total", "-", 19, 479, 558, 3070, 52, 521, 88, 5386, 36, 262, 444, 10915